,Name,Composer,Name
457,Look For The Truth,Blaze Bayley/Janick Gers/Steve Harris,Rock
458,The Aftermath,Blaze Bayley/Janick Gers/Steve Harris,Rock
459,Judgement Of Heaven,Steve Harris,Rock
460,Blood On The World's Hands,Steve Harris,Rock
461,The Edge Of Darkness,Blaze Bayley/Janick Gers/Steve Harris,Rock
462,2 A.M.,Blaze Bayley/Janick Gers/Steve Harris,Rock
463,The Unbeliever,Janick Gers/Steve Harris,Rock
464,Futureal,Blaze Bayley/Steve Harris,Rock
465,The Angel And The Gambler,Steve Harris,Rock
466,Lightning Strikes Twice,David Murray/Steve Harris,Rock
467,The Clansman,Steve Harris,Rock
468,When Two Worlds Collide,Blaze Bayley/David Murray/Steve Harris,Rock
469,The Educated Fool,Steve Harris,Rock
470,Don't Look To The Eyes Of A Stranger,Steve Harris,Rock
471,Como Estais Amigos,Blaze Bayley/Janick Gers,Rock
472,When You Gonna Learn (Digeridoo),"Jay Kay/Kay, Jay",Rock
473,Too Young To Die,"Smith, Toby",Rock
474,Hooked Up,"Smith, Toby",Rock
475,"If I Like It, I Do It","Gelder, Nick van",Rock
476,Music Of The Wind,"Smith, Toby",Rock
477,Emergency On Planet Earth,"Smith, Toby",Rock
478,"Whatever It Is, I Just Can't Stop","Jay Kay/Kay, Jay",Rock
479,Blow Your Mind,"Smith, Toby",Rock
480,Revolution 1993,"Smith, Toby",Rock
481,Didgin' Out,"Buchanan, Wallis",Rock
482,Foxy Lady,Jimi Hendrix,Rock
483,Manic Depression,Jimi Hendrix,Rock
484,Red House,Jimi Hendrix,Rock
485,Can You See Me,Jimi Hendrix,Rock
486,Love Or Confusion,Jimi Hendrix,Rock
487,I Don't Live Today,Jimi Hendrix,Rock
488,May This Be Love,Jimi Hendrix,Rock
489,Fire,Jimi Hendrix,Rock
490,Third Stone From The Sun,Jimi Hendrix,Rock
491,Remember,Jimi Hendrix,Rock
492,Are You Experienced?,Jimi Hendrix,Rock
493,Hey Joe,Billy Roberts,Rock
494,Stone Free,Jimi Hendrix,Rock
495,Purple Haze,Jimi Hendrix,Rock
496,51st Anniversary,Jimi Hendrix,Rock
497,The Wind Cries Mary,Jimi Hendrix,Rock
498,Highway Chile,Jimi Hendrix,Rock
499,Surfing with the Alien,,Rock
500,Ice 9,,Rock
501,Crushing Day,,Rock
502,"Always With Me, Always With You",,Rock
503,Satch Boogie,,Rock
504,Hill of the Skull,J. Satriani,Rock
505,Circles,,Rock
506,Lords of Karma,J. Satriani,Rock
507,Midnight,J. Satriani,Rock
508,Echo,J. Satriani,Rock
509,Comin' Home,"Paul Stanley, Ace Frehley",Rock
510,Plaster Caster,Gene Simmons,Rock
511,Goin' Blind,"Gene Simmons, Stephen Coronel",Rock
512,Do You Love Me,"Paul Stanley, Bob Ezrin, Kim Fowley",Rock
513,Domino,Gene Simmons,Rock
514,Sure Know Something,"Paul Stanley, Vincent Poncia",Rock
515,A World Without Heroes,"Paul Stanley, Gene Simmons, Bob Ezrin, Lewis Reed",Rock
516,Rock Bottom,"Paul Stanley, Ace Frehley",Rock
517,See You Tonight,Gene Simmons,Rock
518,I Still Love You,Paul Stanley,Rock
519,Every Time I Look At You,"Paul Stanley, Vincent Cusano",Rock
520,"2,000 Man","Mick Jagger, Keith Richard",Rock
521,Beth,"Peter Criss, Stan Penridge, Bob Ezrin",Rock
522,Nothin' To Lose,Gene Simmons,Rock
523,Rock And Roll All Nite,"Paul Stanley, Gene Simmons",Rock
524,Immigrant Song,Robert Plant,Rock
525,Heartbreaker,John Bonham/John Paul Jones/Robert Plant,Rock
526,Since I've Been Loving You,John Paul Jones/Robert Plant,Rock
527,Black Dog,John Paul Jones/Robert Plant,Rock
528,Dazed And Confused,Jimmy Page/Led Zeppelin,Rock
529,Stairway To Heaven,Robert Plant,Rock
530,Going To California,Robert Plant,Rock
531,That's The Way,Robert Plant,Rock
532,Whole Lotta Love (Medley),Arthur Crudup/Bernard Besman/Bukka White/Doc Pomus/John Bonham/John Lee Hooker/John Paul Jones/Mort Shuman/Robert Plant/Willie Dixon,Rock
533,Thank You,Robert Plant,Rock
534,We're Gonna Groove,Ben E.King/James Bethea,Rock
535,Poor Tom,Jimmy Page/Robert Plant,Rock
536,I Can't Quit You Baby,Willie Dixon,Rock
537,Walter's Walk,"Jimmy Page, Robert Plant",Rock
538,Ozone Baby,"Jimmy Page, Robert Plant",Rock
539,Darlene,"Jimmy Page, Robert Plant, John Bonham, John Paul Jones",Rock
540,Bonzo's Montreux,John Bonham,Rock
541,Wearing And Tearing,"Jimmy Page, Robert Plant",Rock
542,The Song Remains The Same,Jimmy Page/Jimmy Page & Robert Plant/Robert Plant,Rock
543,The Rain Song,Jimmy Page/Jimmy Page & Robert Plant/Robert Plant,Rock
544,Over The Hills And Far Away,Jimmy Page/Jimmy Page & Robert Plant/Robert Plant,Rock
545,The Crunge,John Bonham/John Paul Jones,Rock
546,Dancing Days,Jimmy Page/Jimmy Page & Robert Plant/Robert Plant,Rock
547,D'Yer Mak'er,John Bonham/John Paul Jones,Rock
548,No Quarter,John Paul Jones,Rock
549,The Ocean,John Bonham/John Paul Jones,Rock
550,In The Evening,"Jimmy Page, Robert Plant & John Paul Jones",Rock
551,South Bound Saurez,John Paul Jones & Robert Plant,Rock
552,Fool In The Rain,"Jimmy Page, Robert Plant & John Paul Jones",Rock
553,Hot Dog,Jimmy Page & Robert Plant,Rock
554,Carouselambra,"John Paul Jones, Jimmy Page & Robert Plant",Rock
555,All My Love,Robert Plant & John Paul Jones,Rock
556,I'm Gonna Crawl,"Jimmy Page, Robert Plant & John Paul Jones",Rock
557,Black Dog,"Jimmy Page, Robert Plant, John Paul Jones",Rock
558,Rock & Roll,"Jimmy Page, Robert Plant, John Paul Jones, John Bonham",Rock
559,The Battle Of Evermore,"Jimmy Page, Robert Plant",Rock
560,Stairway To Heaven,"Jimmy Page, Robert Plant",Rock
561,Misty Mountain Hop,"Jimmy Page, Robert Plant, John Paul Jones",Rock
562,Four Sticks,"Jimmy Page, Robert Plant",Rock
563,Going To California,"Jimmy Page, Robert Plant",Rock
564,When The Levee Breaks,"Jimmy Page, Robert Plant, John Paul Jones, John Bonham, Memphis Minnie",Rock
565,Good Times Bad Times,Jimmy Page/John Bonham/John Paul Jones,Rock
566,Babe I'm Gonna Leave You,Jimmy Page/Robert Plant,Rock
567,You Shook Me,J. B. Lenoir/Willie Dixon,Rock
568,Dazed and Confused,Jimmy Page,Rock
569,Your Time Is Gonna Come,Jimmy Page/John Paul Jones,Rock
570,Black Mountain Side,Jimmy Page,Rock
571,Communication Breakdown,Jimmy Page/John Bonham/John Paul Jones,Rock
572,I Can't Quit You Baby,Willie Dixon,Rock
573,How Many More Times,Jimmy Page/John Bonham/John Paul Jones,Rock
574,Whole Lotta Love,"Jimmy Page, Robert Plant, John Paul Jones, John Bonham",Rock
575,What Is And What Should Never Be,"Jimmy Page, Robert Plant",Rock
576,The Lemon Song,"Jimmy Page, Robert Plant, John Paul Jones, John Bonham",Rock
577,Thank You,"Jimmy Page, Robert Plant",Rock
578,Heartbreaker,"Jimmy Page, Robert Plant, John Paul Jones, John Bonham",Rock
579,Living Loving Maid (She's Just A Woman),"Jimmy Page, Robert Plant",Rock
580,Ramble On,"Jimmy Page, Robert Plant",Rock
581,Moby Dick,"John Bonham, John Paul Jones, Jimmy Page",Rock
582,Bring It On Home,"Jimmy Page, Robert Plant",Rock
583,Immigrant Song,"Jimmy Page, Robert Plant",Rock
584,Friends,"Jimmy Page, Robert Plant",Rock
585,Celebration Day,"Jimmy Page, Robert Plant, John Paul Jones",Rock
586,Since I've Been Loving You,"Jimmy Page, Robert Plant, John Paul Jones",Rock
587,Out On The Tiles,"Jimmy Page, Robert Plant, John Bonham",Rock
588,Gallows Pole,Traditional,Rock
589,Tangerine,Jimmy Page,Rock
590,That's The Way,"Jimmy Page, Robert Plant",Rock
591,Bron-Y-Aur Stomp,"Jimmy Page, Robert Plant, John Paul Jones",Rock
592,Hats Off To (Roy) Harper,Traditional,Rock
593,In The Light,John Paul Jones/Robert Plant,Rock
594,Bron-Yr-Aur,Jimmy Page,Rock
595,Down By The Seaside,Robert Plant,Rock
596,Ten Years Gone,Robert Plant,Rock
597,Night Flight,John Paul Jones/Robert Plant,Rock
598,The Wanton Song,Robert Plant,Rock
599,Boogie With Stu,Ian Stewart/John Bonham/John Paul Jones/Mrs. Valens/Robert Plant,Rock
600,Black Country Woman,Robert Plant,Rock
601,Sick Again,Robert Plant,Rock
602,Achilles Last Stand,Jimmy Page/Robert Plant,Rock
603,For Your Life,Jimmy Page/Robert Plant,Rock
604,Royal Orleans,John Bonham/John Paul Jones,Rock
605,Nobody's Fault But Mine,Jimmy Page/Robert Plant,Rock
606,Candy Store Rock,Jimmy Page/Robert Plant,Rock
607,Hots On For Nowhere,Jimmy Page/Robert Plant,Rock
608,Tea For One,Jimmy Page/Robert Plant,Rock
609,Rock & Roll,John Bonham/John Paul Jones/Robert Plant,Rock
610,Celebration Day,John Paul Jones/Robert Plant,Rock
611,The Song Remains The Same,Robert Plant,Rock
612,Rain Song,Robert Plant,Rock
613,Dazed And Confused,Jimmy Page,Rock
614,No Quarter,John Paul Jones/Robert Plant,Rock
615,Stairway To Heaven,Robert Plant,Rock
616,Moby Dick,John Bonham/John Paul Jones,Rock
617,Whole Lotta Love,John Bonham/John Paul Jones/Robert Plant/Willie Dixon,Rock
618,Are You Gonna Go My Way,Craig Ross/Lenny Kravitz,Rock
619,Fly Away,Lenny Kravitz,Rock
620,Rock And Roll Is Dead,Lenny Kravitz,Rock
621,Again,Lenny Kravitz,Rock
622,It Ain't Over 'Til It's Over,Lenny Kravitz,Rock
623,Can't Get You Off My Mind,Lenny Kravitz,Rock
624,Mr. Cab Driver,Lenny Kravitz,Rock
625,American Woman,B. Cummings/G. Peterson/M.J. Kale/R. Bachman,Rock
626,Stand By My Woman,Henry Kirssch/Lenny Kravitz/S. Pasch A. Krizan,Rock
627,Always On The Run,Lenny Kravitz/Slash,Rock
628,Heaven Help,Gerry DeVeaux/Terry Britten,Rock
629,I Belong To You,Lenny Kravitz,Rock
630,Believe,Henry Hirsch/Lenny Kravitz,Rock
631,Let Love Rule,Lenny Kravitz,Rock
632,Black Velveteen,Lenny Kravitz,Rock
633,Pseudo Silk Kimono,"Kelly, Mosley, Rothery, Trewaves",Rock
634,Kayleigh,"Kelly, Mosley, Rothery, Trewaves",Rock
635,Lavender,"Kelly, Mosley, Rothery, Trewaves",Rock
636,Bitter Suite: Brief Encounter / Lost Weekend / Blue Angel,"Kelly, Mosley, Rothery, Trewaves",Rock
637,Heart Of Lothian: Wide Boy / Curtain Call,"Kelly, Mosley, Rothery, Trewaves",Rock
638,Waterhole (Expresso Bongo),"Kelly, Mosley, Rothery, Trewaves",Rock
639,Lords Of The Backstage,"Kelly, Mosley, Rothery, Trewaves",Rock
640,Blind Curve: Vocal Under A Bloodlight / Passing Strangers / Mylo / Perimeter Walk / Threshold,"Kelly, Mosley, Rothery, Trewaves",Rock
641,Childhoods End?,"Kelly, Mosley, Rothery, Trewaves",Rock
642,White Feather,"Kelly, Mosley, Rothery, Trewaves",Rock
643,Down Under,,Rock
644,Overkill,,Rock
645,Be Good Johnny,,Rock
646,Everything I Need,,Rock
647,Down by the Sea,,Rock
648,Who Can It Be Now?,,Rock
649,It's a Mistake,,Rock
650,Dr. Heckyll & Mr. Jive,,Rock
651,Shakes and Ladders,,Rock
652,No Sign of Yesterday,,Rock
653,Intro,Kurt Cobain,Rock
654,School,Kurt Cobain,Rock
655,Drain You,Kurt Cobain,Rock
656,Aneurysm,Nirvana,Rock
657,Smells Like Teen Spirit,Nirvana,Rock
658,Been A Son,Kurt Cobain,Rock
659,Lithium,Kurt Cobain,Rock
660,Sliver,Kurt Cobain,Rock
661,Spank Thru,Kurt Cobain,Rock
662,Scentless Apprentice,Nirvana,Rock
663,Heart-Shaped Box,Kurt Cobain,Rock
664,Milk It,Kurt Cobain,Rock
665,Negative Creep,Kurt Cobain,Rock
666,Polly,Kurt Cobain,Rock
667,Breed,Kurt Cobain,Rock
668,Tourette's,Kurt Cobain,Rock
669,Blew,Kurt Cobain,Rock
670,Smells Like Teen Spirit,Kurt Cobain,Rock
671,In Bloom,Kurt Cobain,Rock
672,Come As You Are,Kurt Cobain,Rock
673,Breed,Kurt Cobain,Rock
674,Lithium,Kurt Cobain,Rock
675,Polly,Kurt Cobain,Rock
676,Territorial Pissings,Kurt Cobain,Rock
677,Drain You,Kurt Cobain,Rock
678,Lounge Act,Kurt Cobain,Rock
679,Stay Away,Kurt Cobain,Rock
680,On A Plain,Kurt Cobain,Rock
681,Something In The Way,Kurt Cobain,Rock
682,Time,,Rock
683,P.S.Apareça,,Rock
684,Sangue Latino,,Rock
685,Folhas Secas,,Rock
686,Poeira,,Rock
687,Mágica,,Rock
688,Quem Mata A Mulher Mata O Melhor,,Rock
689,Mundaréu,,Rock
690,O Braço Da Minha Guitarra,,Rock
691,Deus,,Rock
692,Mãe Terra,,Rock
693,Às Vezes,,Rock
694,Menino De Rua,,Rock
695,Prazer E Fé,,Rock
696,Elza,,Rock
697,Bark at the Moon,O. Osbourne,Rock
698,I Don't Know,"B. Daisley, O. Osbourne & R. Rhoads",Rock
699,Crazy Train,"B. Daisley, O. Osbourne & R. Rhoads",Rock
700,Flying High Again,"L. Kerslake, O. Osbourne, R. Daisley & R. Rhoads",Rock
701,"Mama, I'm Coming Home","L. Kilmister, O. Osbourne & Z. Wylde",Rock
702,No More Tears,"J. Purdell, M. Inez, O. Osbourne, R. Castillo & Z. Wylde",Rock
703,Shining In The Light,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",Rock
704,When The World Was Young,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",Rock
705,Upon A Golden Horse,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",Rock
706,Blue Train,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",Rock
707,Please Read The Letter,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",Rock
708,Most High,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",Rock
709,Heart In Your Hand,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",Rock
710,Walking Into Clarksdale,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",Rock
711,Burning Up,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",Rock
712,When I Was A Child,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",Rock
713,House Of Love,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",Rock
714,Sons Of Freedom,"Jimmy Page, Robert Plant, Charlie Jones, Michael Lee",Rock
715,Wrathchild,Steve Harris,Rock
716,Killers,Paul Di'Anno/Steve Harris,Rock
717,Prowler,Steve Harris,Rock
718,Murders In The Rue Morgue,Steve Harris,Rock
719,Women In Uniform,Greg Macainsh,Rock
720,Remember Tomorrow,Paul Di'Anno/Steve Harris,Rock
721,Sanctuary,David Murray/Paul Di'Anno/Steve Harris,Rock
722,Running Free,Paul Di'Anno/Steve Harris,Rock
723,Phantom Of The Opera,Steve Harris,Rock
724,Iron Maiden,Steve Harris,Rock
725,Corduroy,Pearl Jam & Eddie Vedder,Rock
726,Given To Fly,Eddie Vedder & Mike McCready,Rock
727,"Hail, Hail",Stone Gossard & Eddie Vedder & Jeff Ament & Mike McCready,Rock
728,Daughter,Dave Abbruzzese & Jeff Ament & Stone Gossard & Mike McCready & Eddie Vedder,Rock
729,Elderly Woman Behind The Counter In A Small Town,Dave Abbruzzese & Jeff Ament & Stone Gossard & Mike McCready & Eddie Vedder,Rock
730,Untitled,Pearl Jam,Rock
731,MFC,Eddie Vedder,Rock
732,Go,Dave Abbruzzese & Jeff Ament & Stone Gossard & Mike McCready & Eddie Vedder,Rock
733,Red Mosquito,Jeff Ament & Stone Gossard & Jack Irons & Mike McCready & Eddie Vedder,Rock
734,Even Flow,Stone Gossard & Eddie Vedder,Rock
735,Off He Goes,Eddie Vedder,Rock
736,Nothingman,Jeff Ament & Eddie Vedder,Rock
737,Do The Evolution,Eddie Vedder & Stone Gossard,Rock
738,Better Man,Eddie Vedder,Rock
739,Black,Stone Gossard & Eddie Vedder,Rock
740,F*Ckin' Up,Neil Young,Rock
741,Can't Keep,Eddie Vedder,Rock
742,Save You,Eddie Vedder/Jeff Ament/Matt Cameron/Mike McCready/Stone Gossard,Rock
743,Love Boat Captain,Eddie Vedder,Rock
744,Cropduster,Matt Cameron,Rock
745,Ghost,Jeff Ament,Rock
746,I Am Mine,Eddie Vedder,Rock
747,Thumbing My Way,Eddie Vedder,Rock
748,You Are,Matt Cameron,Rock
749,Get Right,Matt Cameron,Rock
750,Green Disease,Eddie Vedder,Rock
751,Help Help,Jeff Ament,Rock
752,Bushleager,Stone Gossard,Rock
753,1/2 Full,Jeff Ament,Rock
754,Arc,Pearl Jam,Rock
755,All or None,Stone Gossard,Rock
756,Once,Stone Gossard,Rock
757,Evenflow,Stone Gossard,Rock
758,Alive,Stone Gossard,Rock
759,Why Go,Jeff Ament,Rock
760,Black,Dave Krusen/Stone Gossard,Rock
761,Jeremy,Jeff Ament,Rock
762,Oceans,Jeff Ament/Stone Gossard,Rock
763,Porch,Eddie Vedder,Rock
764,Garden,Jeff Ament/Stone Gossard,Rock
765,Deep,Jeff Ament/Stone Gossard,Rock
766,Release,Jeff Ament/Mike McCready/Stone Gossard,Rock
767,Go,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,Rock
768,Animal,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,Rock
769,Daughter,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,Rock
770,Glorified G,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,Rock
771,Dissident,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,Rock
772,W.M.A.,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,Rock
773,Blood,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,Rock
774,Rearviewmirror,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,Rock
775,Rats,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,Rock
776,Elderly Woman Behind The Counter In A Small Town,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,Rock
777,Leash,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,Rock
778,Indifference,Dave Abbruzzese/Eddie Vedder/Jeff Ament/Mike McCready/Stone Gossard,Rock
779,Speak To Me/Breathe,"Mason/Waters, Gilmour, Wright",Rock
780,On The Run,"Gilmour, Waters",Rock
781,Time,"Mason, Waters, Wright, Gilmour",Rock
782,The Great Gig In The Sky,"Wright, Waters",Rock
783,Money,Waters,Rock
784,Us And Them,"Waters, Wright",Rock
785,Any Colour You Like,"Gilmour, Mason, Wright, Waters",Rock
786,Brain Damage,Waters,Rock
787,Eclipse,Waters,Rock
788,Bohemian Rhapsody,"Mercury, Freddie",Rock
789,Another One Bites The Dust,"Deacon, John",Rock
790,Killer Queen,"Mercury, Freddie",Rock
791,Fat Bottomed Girls,"May, Brian",Rock
792,Bicycle Race,"Mercury, Freddie",Rock
793,You're My Best Friend,"Deacon, John",Rock
794,Don't Stop Me Now,"Mercury, Freddie",Rock
795,Save Me,"May, Brian",Rock
796,Crazy Little Thing Called Love,"Mercury, Freddie",Rock
797,Somebody To Love,"Mercury, Freddie",Rock
798,Now I'm Here,"May, Brian",Rock
799,Good Old-Fashioned Lover Boy,"Mercury, Freddie",Rock
800,Play The Game,"Mercury, Freddie",Rock
801,Flash,"May, Brian",Rock
802,Seven Seas Of Rhye,"Mercury, Freddie",Rock
803,We Will Rock You,"Deacon, John/May, Brian",Rock
804,We Are The Champions,"Mercury, Freddie",Rock
805,We Will Rock You,May,Rock
806,We Are The Champions,Mercury,Rock
807,Sheer Heart Attack,Taylor,Rock
808,"All Dead, All Dead",May,Rock
809,Spread Your Wings,Deacon,Rock
810,Fight From The Inside,Taylor,Rock
811,"Get Down, Make Love",Mercury,Rock
812,Sleep On The Sidewalk,May,Rock
813,Who Needs You,Deacon,Rock
814,It's Late,May,Rock
815,My Melancholy Blues,Mercury,Rock
816,How The West Was Won And Where It Got Us,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
817,The Wake-Up Bomb,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
818,New Test Leper,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
819,Undertow,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
820,E-Bow The Letter,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
821,Leave,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
822,Departure,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
823,Bittersweet Me,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
824,Be Mine,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
825,Binky The Doormat,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
826,Zither,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
827,"So Fast, So Numb",Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
828,Low Desert,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
829,Electrolite,Bill Berry-Peter Buck-Mike Mills-Michael Stipe,Rock
830,Maluco Beleza,,Rock
831,O Dia Em Que A Terra Parou,,Rock
832,No Fundo Do Quintal Da Escola,,Rock
833,O Segredo Do Universo,,Rock
834,As Profecias,,Rock
835,Mata Virgem,,Rock
836,Sapato 36,,Rock
837,Todo Mundo Explica,,Rock
838,Que Luz É Essa,,Rock
839,Diamante De Mendigo,,Rock
840,Negócio É,,Rock
841,"Muita Estrela, Pouca Constelação",,Rock
842,Século XXI,,Rock
843,Rock Das Aranhas (Ao Vivo) (Live),,Rock
844,By The Way,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
845,Universally Speaking,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
846,This Is The Place,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
847,Dosed,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
848,Don't Forget Me,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
849,The Zephyr Song,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
850,Can't Stop,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
851,I Could Die For You,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
852,Midnight,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
853,Throw Away Your Television,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
854,Cabron,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
855,Tear,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
856,On Mercury,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
857,Minor Thing,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
858,Warm Tape,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
859,Venice Queen,"Anthony Kiedis, Flea, John Frusciante, and Chad Smith",Rock
860,Around The World,Anthony Kiedis/Chad Smith/Flea/John Frusciante,Rock
861,Parallel Universe,Red Hot Chili Peppers,Rock
862,Scar Tissue,Red Hot Chili Peppers,Rock
863,Otherside,Red Hot Chili Peppers,Rock
864,Get On Top,Red Hot Chili Peppers,Rock
865,Californication,Red Hot Chili Peppers,Rock
866,Easily,Red Hot Chili Peppers,Rock
867,Porcelain,Anthony Kiedis/Chad Smith/Flea/John Frusciante,Rock
868,Emit Remmus,Red Hot Chili Peppers,Rock
869,I Like Dirt,Red Hot Chili Peppers,Rock
870,This Velvet Glove,Red Hot Chili Peppers,Rock
871,Savior,Anthony Kiedis/Chad Smith/Flea/John Frusciante,Rock
872,Purple Stain,Red Hot Chili Peppers,Rock
873,Right On Time,Red Hot Chili Peppers,Rock
874,Road Trippin',Red Hot Chili Peppers,Rock
875,The Spirit Of Radio,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
876,The Trees,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
877,Something For Nothing,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
878,Freewill,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
879,Xanadu,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
880,Bastille Day,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
881,By-Tor And The Snow Dog,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
882,Anthem,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
883,Closer To The Heart,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
884,2112 Overture,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
885,The Temples Of Syrinx,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
886,La Villa Strangiato,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
887,Fly By Night,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
888,Finding My Way,Geddy Lee And Alex Lifeson/Geddy Lee And Neil Peart/Rush,Rock
889,Jingo,M.Babatunde Olantunji,Rock
890,El Corazon Manda,E.Weiss,Rock
891,La Puesta Del Sol,E.Weiss,Rock
892,Persuasion,Carlos Santana,Rock
893,As The Years Go by,Albert King,Rock
894,Soul Sacrifice,Carlos Santana,Rock
895,Fried Neckbones And Home Fries,W.Correa,Rock
896,Santana Jam,Carlos Santana,Rock
897,Evil Ways,,Rock
898,We've Got To Get Together/Jingo,,Rock
899,Rock Me,,Rock
900,Just Ain't Good Enough,,Rock
901,Funky Piano,,Rock
902,The Way You Do To Mer,,Rock
903,Holding Back The Years,Mick Hucknall and Neil Moss,Rock
904,Money's Too Tight To Mention,John and William Valentine,Rock
905,The Right Thing,Mick Hucknall,Rock
906,It's Only Love,Jimmy and Vella Cameron,Rock
907,A New Flame,Mick Hucknall,Rock
908,You've Got It,Mick Hucknall and Lamont Dozier,Rock
909,If You Don't Know Me By Now,Kenny Gamble and Leon Huff,Rock
910,Stars,Mick Hucknall,Rock
911,Something Got Me Started,Mick Hucknall and Fritz McIntyre,Rock
912,Thrill Me,Mick Hucknall and Fritz McIntyre,Rock
913,Your Mirror,Mick Hucknall,Rock
914,For Your Babies,Mick Hucknall,Rock
915,So Beautiful,Mick Hucknall,Rock
916,Angel,Carolyn Franklin and Sonny Saunders,Rock
917,Fairground,Mick Hucknall,Rock
918,Água E Fogo,Chico Amaral/Edgard Scandurra/Samuel Rosa,Rock
919,Três Lados,Chico Amaral/Samuel Rosa,Rock
920,Ela Desapareceu,Chico Amaral/Samuel Rosa,Rock
921,Balada Do Amor Inabalável,Fausto Fawcett/Samuel Rosa,Rock
922,Canção Noturna,Chico Amaral/Lelo Zanettik,Rock
923,Muçulmano,"Leão, Rodrigo F./Samuel Rosa",Rock
924,Maquinarama,Chico Amaral/Samuel Rosa,Rock
925,Rebelião,Chico Amaral/Samuel Rosa,Rock
926,A Última Guerra,"Leão, Rodrigo F./Lô Borges/Samuel Rosa",Rock
927,Fica,Chico Amaral/Samuel Rosa,Rock
